filename,genre,songTitle,artistName
blues.00000.wav,blues,"One Bourbon, One Scotch, One Beer",John Lee Hooker
blues.00001.wav,blues,I'm In the Mood,John Lee Hooker
blues.00002.wav,blues,Think Twice Before You Go (feat. Los Lobos),John Lee Hooker
blues.00003.wav,blues,I'm Bad Like Jesse James (Live),John Lee Hooker
blues.00004.wav,blues,Walkin' the Boogie,John Lee Hooker
blues.00005.wav,blues,Sugar Mama,John Lee Hooker
blues.00006.wav,blues,Dreamin' Blues,John Lee Hooker
blues.00007.wav,blues,Ground Hog Blues,John Lee Hooker
blues.00008.wav,blues,Shake It Baby,John Lee Hooker
blues.00009.wav,blues,It's My Own Fault | Hey Baby (Medley),John Lee Hooker
blues.00010.wav,blues,Lonely Boy Boogie,John Lee Hooker
blues.00011.wav,blues,It Serves You Right to Suffer,John Lee Hooker
blues.00012.wav,blues,Cross Road Blues,Robert Johnson
blues.00013.wav,blues,Terraplane Blues,Robert Johnson
blues.00014.wav,blues,#030: Obsession,This American Life
blues.00015.wav,blues,Walkin' Blues,Robert Johnson
blues.00016.wav,blues,I Believe I'll Dust My Broom,Robert Johnson
blues.00017.wav,blues,32-20 Blues,Robert Johnson
blues.00018.wav,blues,Kind Hearted Woman Blues,Robert Johnson
blues.00019.wav,blues,If I Had Possession Over Judgement Day,Robert Johnson
blues.00020.wav,blues,Preachin' Blues (Up Jumped the Devil),Robert Johnson
blues.00021.wav,blues,When You Got a Good Friend,Robert Johnson
blues.00022.wav,blues,Ramblin' On My Mind,Robert Johnson
blues.00023.wav,blues,Stones In My Passway,Robert Johnson
blues.00024.wav,blues,Traveling Riverside Blues,Robert Johnson
blues.00025.wav,blues,Love In Vain,Robert Johnson
blues.00026.wav,blues,Me and the Devil Blues,Robert Johnson
blues.00027.wav,blues,Hellhound On My Trail,Robert Johnson
blues.00028.wav,blues,Traveling Riverside Blues,Robert Johnson
blues.00029.wav,blues,House Carpenter,Kelly Joe Phelps
blues.00030.wav,blues,River Rat Jimmy,Kelly Joe Phelps
blues.00031.wav,blues,Hobo's Son,Kelly Joe Phelps
blues.00032.wav,blues,Katy,Kelly Joe Phelps
blues.00033.wav,blues,Wandering Away,Kelly Joe Phelps
blues.00034.wav,blues,Dock Boggs Country Blues,Kelly Joe Phelps
blues.00035.wav,blues,Capman Bootman,Kelly Joe Phelps
blues.00036.wav,blues,Train Carried My Girl from Town,Kelly Joe Phelps
blues.00037.wav,blues,Piece By Piece,Kelly Joe Phelps
blues.00038.wav,blues,Many a Time,Kelly Joe Phelps
blues.00039.wav,blues,Goodnight Irene,Kelly Joe Phelps
blues.00040.wav,blues,Love Struck Baby,Stevie Ray Vaughan & Double Trouble
blues.00041.wav,blues,Pride and Joy,Stevie Ray Vaughan & Double Trouble
blues.00042.wav,blues,Texas Flood,Stevie Ray Vaughan & Double Trouble
blues.00043.wav,blues,Tell Me,Stevie Ray Vaughan & Double Trouble
blues.00044.wav,blues,Testify,Stevie Ray Vaughan & Double Trouble
blues.00045.wav,blues,Rude Mood,Stevie Ray Vaughan & Double Trouble
blues.00046.wav,blues,Mary Had a Little Lamb,Stevie Ray Vaughan & Double Trouble
blues.00047.wav,blues,Dirty Pool,Stevie Ray Vaughan & Double Trouble
blues.00048.wav,blues,I'm Cryin',Stevie Ray Vaughan & Double Trouble
blues.00049.wav,blues,Lenny,Stevie Ray Vaughan & Double Trouble
blues.00050.wav,blues,What's Wrong,Magic Slim
blues.00051.wav,blues,Snakebite,Magic Slim & The Teardrops
blues.00052.wav,blues,Please Don't Dog Me,Magic Slim
blues.00053.wav,blues,Key to Your Door,Magic Slim & The Teardrops
blues.00054.wav,blues,Shake It,Magic Slim & The Teardrops
blues.00055.wav,blues,I Ain't Looking for No Love,Magic Slim & The Teardrops
blues.00056.wav,blues,Country Boy,Magic Slim & The Teardrops
blues.00057.wav,blues,Lump On Your Stump,Magic Slim & The Teardrops
blues.00058.wav,blues,Lonesome Trouble,Magic Slim & The Teardrops
blues.00059.wav,blues,The Man You Need,Magic Slim & The Teardrops
blues.00060.wav,blues,Mind Your Own Business,Magic Slim & The Teardrops
