filename,genre,songTitle,artistName,lyrics,spectral_centroid,energy_rms,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
blues.00000.wav,blues,"One Bourbon, One Scotch, One Beer",John Lee Hooker,"One brother, one's got two, and one bill The pin is the bottom, come here, I want another break, and I want another night My baby's got two, and I'm seeing my baby's their night, I'm full and one, brother, and one's got two",1784.416545970319,0.130192,-113.619385,121.55302,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973775,-8.32241,8.8067875,-3.665802,5.745939,-5.161711,0.7502979,-1.6883581,-0.40932855,-2.298869,1.2199471,0.36172685,0.3676187,0.43998006,0.24463452,0.24780177,0.33561543,0.36457604,0.43564707,0.2958413,0.3146338,0.40656036,0.3847703
blues.00001.wav,blues,I'm In the Mood,John Lee Hooker,"Baby, I'm in a move alone I said night time is the right time To be with the one you love Do you know where night come baby gone old You so far away, all in a mood Baby, I'm in a move",1529.8713140945188,0.095891684,-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906444,-5.5581226,5.375942,-2.237833,4.217125,-6.0110474,0.93266803,-0.7170279,0.2923334,-0.2857169,0.5321443,0.45962226,0.34987718,0.3209686,0.21158588,0.20090792,0.3310051,0.39764693,0.56067634,0.3843793,0.2554738,0.28495902,0.33423826
blues.00002.wav,blues,Think Twice Before You Go (feat. Los Lobos),John Lee Hooker,"There's you and suffer with me, baby, then I know you paid you to do There's you and suffer with me, baby, then I know you paid you to do There's I know you paid you to do Say you need me when I need you Then you know you stand a cue",1552.6377863181906,0.17549369,-90.776344,140.44861,-29.10056,31.68734,-13.975973,25.741682,-13.644712,11.623112,-11.775921,9.700466,-13.115349,5.7857633,-8.899733,-1.0870237,-9.216774,2.4536483,-7.721793,-1.8164973,-3.4343534,-2.2313912,0.2726714,0.19586878,0.31525424,0.40813482,0.5470826,0.32177538,0.30478695,0.28851688,0.33424202,0.40191108,0.38430804,0.5881897
blues.00003.wav,blues,I'm Bad Like Jesse James (Live),John Lee Hooker,"I'm there, I'm there, like just a jame, I had a friend one time, Lisa troublemaker",1070.1100585189854,0.14113921,-199.462,150.09474,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.085354,-2.4761882,-1.0762246,-2.8760564,0.7769088,-3.3200555,0.6372628,-0.6175069,-3.40694,0.34086183,0.408577,0.5245686,0.5470745,0.6571128,0.51167107,0.35563046,0.25169015,0.24638641,0.31520888,0.31654343,0.38285515
blues.00004.wav,blues,Walkin' the Boogie,John Lee Hooker,"I didn't care what you didn't know I was flip-o and I hung What's the situation with you here? And I'm going to play because... Shh! I'm making you, here to play the violin I have a bit to talk about Now to get back out once again I won't let you go",1835.5070084014953,0.0915404,-160.29185,126.19576,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.5005233,-11.80477,1.2038777,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.9244677,-4.408076,-11.701833,0.19272667,0.31723166,0.39155152,0.2559055,0.19280398,0.5305816,0.25394234,0.13921541,0.27655506,0.32433578,0.5552977,0.27302992
blues.00005.wav,blues,Sugar Mama,John Lee Hooker,I'm forgetting only 6 songs i haven't had a lot of songs So it's long to get made Even After an award,1831.9900685948742,0.10343772,-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401844,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.046112,-8.115228,0.23830761,0.30017722,0.6168902,0.23552348,0.123921186,0.24363394,0.2795121,0.41132164,0.24399376,0.28561267,0.28419915,0.36587498
blues.00006.wav,blues,Dreamin' Blues,John Lee Hooker,My baby love me is morning People just around for a club She let me dream and dream and People that I will go try and,1459.0353761872718,0.1416879,-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.27711612,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595716,-9.947578,-6.540925,-10.071381,-10.912119,-6.970003,-3.4485128,-6.4984574,0.42547882,0.22330672,0.13130379,0.15264674,0.24185762,0.49107337,0.24560353,0.1691784,0.28823313,0.46142802,0.3594487,0.30730912
blues.00007.wav,blues,Ground Hog Blues,John Lee Hooker,"I'm not holding the rooting round my back go You never touch a rooting I'm in Loddy-wow-roon, the normal Yes he's standing and he watched me I'm on the way, I leave home",1451.8494584581754,0.13174523,-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.4690983,-8.414114,-6.956977,-3.5483482,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790192,-4.7007947,-8.638816,0.25941816,0.26425818,0.32542,0.21780181,0.21512058,0.29521683,0.19004409,0.18086506,0.26435012,0.39014104,0.648551,0.43658754
blues.00008.wav,blues,Shake It Baby,John Lee Hooker,"Sing it baby, say it baby One time, for me, one time, for me, for me, for me, for me, yes man I don't care Would you father",1719.2739373344168,0.14236063,-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.17341,-6.7202907,7.0050187,-12.739909,5.064209,-5.1730757,-1.446995,-7.0369287,2.6948745,3.4093323,-2.6991909,0.31952104,0.30466494,0.3668323,0.4223385,0.5240038,0.45069426,0.49352205,0.3529855,0.38034287,0.46188274,0.36648214,0.4647075
blues.00009.wav,blues,It's My Own Fault | Hey Baby (Medley),John Lee Hooker,"When you love me, I was going from town to town Why? But you give me one more chance Why? Why?",1817.5295464146707,0.08132098,-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180815,9.023639,-14.101025,4.283337,-6.044196,3.786368,0.22368738,-5.114481,-0.4145367,-1.1848985,-1.9183391,-2.2957964,2.89123,-4.234533,0.24841243,0.27330643,0.4887446,0.2681147,0.17957146,0.26779726,0.22273746,0.41564545,0.27288085,0.18116428,0.22930472,0.24049191
